""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"NAD+ (C_c)"	10	0	1.9983960758502	10	10	1	0.000407166123778502	0.00490196078431373	1	1
"H+ (C_c)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"NADH (C_c)"	10	0	2.25973207600387	10	10	1	0.000407166123778502	0.00492610837438424	1	1
"NADP+ (C_c)"	10	0	0.522618246732947	2.55186590373522	2.55186590373522	1	0.000407166123778502	0.00175438596491228	0.037037037037037	0.037037037037037
"NADPH (C_c)"	10	0	0.584959842632557	2.9620558447969	2.9620558447969	1	0.000407166123778502	0.00184162062615101	0.0384615384615385	0.0384615384615385
"ATP (C_c)"	10	0	1.2893749849392	10	10	1	0.000407166123778502	0.00224719101123596	1	1
"PPi (C_c)"	10	0	10	10	10	1	0.000391389432485323	0.0416666666666667	1	1
"ATP (C_m)"	10	0	10	10	10	1	0.000391389432485323	0.0476190476190476	1	1
"CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"acetyl-CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"PPi (C_m)"	10	0	2.59467071819712	2.28940035334845	2.28940035334845	1	0.000391389432485323	0.010989010989011	0.0196078431372549	0.0196078431372549
"NAD+ (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"CO2 (C_m)"	10	0	2.67454591394374	10	10	1	0.000391389432485323	0.0144927536231884	1	1
"H+ (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"NADH (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"H2O (C_c)"	10	0	0.0889170004014416	10	10	1	0.000542005420054201	0.000636132315521629	1	1
"ADP (C_c)"	10	0.0349441861931291	0	2.31191848986353	2.31191848986353	1	0.00048828125	0.000556792873051225	0.0232558139534884	0.0232558139534884
"Pi (C_c)"	10	0	0.351171789011199	10	10	1	0.000420875420875421	0.001001001001001	0.0222222222222222	0.0222222222222222
"H2O (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"CO2 (C_c)"	10	0	10	10	10	1	0.000391389432485323	0.0103092783505155	1	1
"HCO3- (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"ADP (C_m)"	10	0	1.07713446960369	10	10	1	0.000407166123778502	0.0020746887966805	1	1
"Pi (C_m)"	10	0	2.46223126082937	10	10	1	0.000391389432485323	0.00617283950617284	1	1
"propanoyl-CoA (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"H2O (C_l)"	10	10	0	0.57079698958629	0.57079698958629	1	1	0.000542005420054201	0.00100704934541793	0.00100704934541793
"ubiquinone (C_m)"	10	0	10	10	10	1	0.000391389432485323	1	1	1
"3alpha-hydroxy-5alpha-pregnan-20-one (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5alpha-pregnane-3,20-dione (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"5alpha-androstane-3,17-dione (C_c)"	2.70256779518983	10	0	0.011896086739776	0.011896086739776	1	1	0.000542005420054201	0.000311138767890479	0.000311138767890479
"5alpha-androstane-3,17-dione (C_r)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
"androsterone (C_c)"	10	10	0			1	1	0.000542005420054201	0.000305343511450382	0.000305343511450382
