""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"NAD+ (C_c)"	10	0	2.80978039228895	10	10	1	0.00044404973357016	0.0072992700729927	1	1
"H+ (C_c)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"NADH (C_c)"	10	0	3.32061753405709	10	10	1	0.00044404973357016	0.00555555555555556	1	1
"NADP+ (C_c)"	10	0	1.07759116831106	10	10	1	0.000476190476190476	0.00234192037470726	1	1
"NADPH (C_c)"	10	0	1.13466501607494	10	10	1	0.000476190476190476	0.00255102040816327	1	1
"ATP (C_c)"	10	0	1.58801012321114	10	10	1	0.000476190476190476	0.00328947368421053	1	1
"ATP (C_m)"	10	0	2.89983631103396	10	10	1	0.00044404973357016	0.00763358778625954	1	1
"CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"acetyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"PPi (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"NAD+ (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"CO2 (C_m)"	10	0	3.32061753405709	10	10	1	0.00044404973357016	0.0192307692307692	1	1
"H+ (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"NADH (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"H2O (C_c)"	10	0	0.698839735530792	10	10	1	0.000524109014675052	0.000774593338497289	1	1
"ADP (C_c)"	10	0	0.20396019168632	10	10	1	0.000476190476190476	0.00066006600660066	1	1
"Pi (C_c)"	10	0	0.473880510543113	10	10	1	0.000533617929562433	0.000743494423791822	1	1
"H2O (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"H2O (C_s)"	10	0.289248165115874	0	2.43943585102012	2.43943585102012	1	0.00171526586620926	0.000475511174512601	0.00666666666666667	0.00666666666666667
"CO2 (C_c)"	10	0	10	10	10	1	0.00044404973357016	0.00558659217877095	1	1
"GDP (C_m)"	10	0.409760221691033	0	1.07727973074122	1.07727973074122	1	0.00101522842639594	0.000475511174512601	0.00180831826401447	0.00180831826401447
"ADP (C_m)"	10	0	0.128561342913337	3.3494787827258	3.3494787827258	1	0.000476190476190476	0.000634920634920635	0.027027027027027	0.027027027027027
"FAD (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"propanoyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"FADH2 (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"crotonyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"ubiquinol (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"ubiquinone (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"tiglyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"(2E)-decenoyl-CoA (C_m)"	2.8563919651624	0	3.32061753405709	3.3494787827258	3.3494787827258	1	0.00044404973357016	1	0.0294117647058824	0.0294117647058824
"4(R),8-dimethyl-trans-2-nonenoyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"2,6-dimethyl-trans-2-heptenoyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"4-methyl-trans-2-pentenoyl-CoA (C_m)"	10	0	10	10	10	1	0.00044404973357016	1	1	1
"androsterone (C_c)"	3.10910972725618	10	0			1	1	0.000475511174512601	0.000310462589257994	0.000310462589257994
"activation-ppara (C_n)"	10	0	1.39484585160311	2.80601323691431	2.80601323691431	1	0.00044404973357016	0.00311526479750779	0.0131578947368421	0.0131578947368421
"activation-ppara (C_c)"	3.10910972725618	0	0.929740422599425	3.3494787827258	3.3494787827258	1	0.00044404973357016	0.00223214285714286	0.0133333333333333	0.0133333333333333
"butyryl-CoA (C_m)"	3.10910972725618	0	10	3.3494787827258	3.3494787827258	0.027027027027027	0.00044404973357016	0.015625	0.0178571428571429	0.0178571428571429
"CoA (C_c)"	10	0	2.38060402148647	10	10	0.0263157894736842	0.00044404973357016	0.00458715596330275	1	1
"H2O (C_l)"	10	10	0	0.350441235494396	0.350441235494396	0.0256410256410256	1	0.000475511174512601	0.000603500301750151	0.000603500301750151
"succinyl-CoA (C_m)"	3.10910972725618	0	10	10	10	0.025	0.00044404973357016	0.0163934426229508	1	1
"(9E)-tetradecenoyl-CoA (C_m)"	10	0	10	10	10	0.025	0.00044404973357016	1	0.0149253731343284	0.0149253731343284
"3alpha-hydroxy-5alpha-pregnan-20-one (C_c)"	3.10910972725618	10	0			0.025	1	0.000475511174512601	0.000310462589257994	0.000310462589257994
"5alpha-pregnane-3,20-dione (C_c)"	3.10910972725618	10	0			0.025	1	0.000475511174512601	0.000310462589257994	0.000310462589257994
"O2 (C_m)"	3.10910972725618	0	10	3.3494787827258	3.3494787827258	0.0227272727272727	0.00044404973357016	0.0212765957446809	0.0161290322580645	0.0161290322580645
